plataforma;jogo;url;nota;
PlayStation 4;Okami HD;https://www.metacritic.com/game/playstation-4/okami-hd;87;
PlayStation 4;TowerFall Ascension;https://www.metacritic.com/game/playstation-4/towerfall-ascension;87;
PlayStation 4;Monster Boy and the Cursed Kingdom;https://www.metacritic.com/game/playstation-4/monster-boy-and-the-cursed-kingdom;87;
PlayStation 4;FIFA 14;https://www.metacritic.com/game/playstation-4/fifa-14;87;
PlayStation 4;DOOM Eternal;https://www.metacritic.com/game/playstation-4/doom-eternal;87;
PlayStation 4;Pro Evolution Soccer 2016;https://www.metacritic.com/game/playstation-4/pro-evolution-soccer-2016;87;
PlayStation 4;Zero Escape: The Nonary Games;https://www.metacritic.com/game/playstation-4/zero-escape-the-nonary-games;87;
PlayStation 4;Wolfenstein II: The New Colossus;https://www.metacritic.com/game/playstation-4/wolfenstein-ii-the-new-colossus;87;
PlayStation 4;Odin Sphere Leifthrasir;https://www.metacritic.com/game/playstation-4/odin-sphere-leifthrasir;87;
PlayStation 4;Dark Souls II: Scholar of the First Sin;https://www.metacritic.com/game/playstation-4/dark-souls-ii-scholar-of-the-first-sin;87;
PlayStation 4;Sonic Mania Plus;https://www.metacritic.com/game/playstation-4/sonic-mania-plus;87;
PlayStation 4;NBA 2K16;https://www.metacritic.com/game/playstation-4/nba-2k16;87;
PlayStation 4;Spelunky 2;https://www.metacritic.com/game/playstation-4/spelunky-2;87;
PlayStation 4;Fallout 4;https://www.metacritic.com/game/playstation-4/fallout-4;87;
PlayStation 4;Uncharted: The Nathan Drake Collection;https://www.metacritic.com/game/playstation-4/uncharted-the-nathan-drake-collection;86;
PlayStation 4;Tales from the Borderlands: A Telltale Game Series;https://www.metacritic.com/game/playstation-4/tales-from-the-borderlands-a-telltale-game-series;86;
PlayStation 4;F1 2017;https://www.metacritic.com/game/playstation-4/f1-2017;86;
PC;Half-Life 2;https://www.metacritic.com/game/pc/half-life-2;96;
PC;Grand Theft Auto V;https://www.metacritic.com/game/pc/grand-theft-auto-v;96;
PC;Out of the Park Baseball 2007;https://www.metacritic.com/game/pc/out-of-the-park-baseball-2007;96;
PC;The Orange Box;https://www.metacritic.com/game/pc/the-orange-box;96;
PC;Half-Life;https://www.metacritic.com/game/pc/half-life;96;
PC;Disco Elysium: The Final Cut;https://www.metacritic.com/game/pc/disco-elysium-the-final-cut;96;
PC;BioShock;https://www.metacritic.com/game/pc/bioshock;96;
PC;Baldur's Gate II: Shadows of Amn;https://www.metacritic.com/game/pc/baldurs-gate-ii-shadows-of-amn;95;
PC;Divinity: Original Sin II - Definitive Edition;https://www.metacritic.com/game/pc/divinity-original-sin-ii---definitive-edition;95;
PC;Portal 2;https://www.metacritic.com/game/pc/portal-2;95;
PC;The Elder Scrolls V: Skyrim;https://www.metacritic.com/game/pc/the-elder-scrolls-v-skyrim;94;
PC;Command & Conquer;https://www.metacritic.com/game/pc/command-conquer;94;
PC;Mass Effect 2;https://www.metacritic.com/game/pc/mass-effect-2;94;
PC;Grand Theft Auto: Vice City;https://www.metacritic.com/game/pc/grand-theft-auto-vice-city;94;
PC;Sid Meier's Civilization II;https://www.metacritic.com/game/pc/sid-meiers-civilization-ii;94;
PC;Quake;https://www.metacritic.com/game/pc/quake;94;
